,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
3223,AMZN231215C00065000,65,82.2,82.8,2.875002813,147.42,4
3224,AMZN231215C00070000,70,77.15,77.8,2.515628711,147.42,4
3225,AMZN231215C00075000,75,72.2,72.8,2.406253984,147.42,4
3226,AMZN231215C00080000,80,67.2,67.8,2.195317012,147.42,4
3227,AMZN231215C00085000,85,62.2,62.8,1.992187539,147.42,4
3228,AMZN231215C00090000,90,57.15,57.8,1.726563867,147.42,4
3229,AMZN231215C00095000,95,52.15,52.8,1.554689727,147.42,4
3230,AMZN231215C00100000,100,47.25,47.8,1.507814961,147.42,4
3231,AMZN231215C00105000,105,42.15,42.8,1.226566367,147.42,4
3232,AMZN231215C00107000,107,40.2,40.75,1.16797291,147.42,4
3233,AMZN231215C00110000,110,37.25,37.8,1.175785371,147.42,4
3234,AMZN231215C00111000,111,36.2,36.8,1.101566992,147.42,4
3235,AMZN231215C00112000,112,35.2,35.75,1.015629922,147.42,4
3236,AMZN231215C00113000,113,34.2,34.8,1.039067305,147.42,4
3237,AMZN231215C00114000,114,33.25,33.8,1.050785996,147.42,4
3238,AMZN231215C00115000,115,32.2,32.8,0.980468945,147.42,4
3239,AMZN231215C00116000,116,31.25,31.8,0.988281367,147.42,4
3240,AMZN231215C00117000,117,30.25,30.8,0.95703168,147.42,4
3241,AMZN231215C00118000,118,29.2,29.85,0.925781992,147.42,4
3242,AMZN231215C00119000,119,28.25,28.8,0.894532305,147.42,4
3243,AMZN231215C00120000,120,27.2,27.85,0.865235723,147.42,4
3244,AMZN231215C00122000,122,25.2,25.8,0.773439766,147.42,4
3245,AMZN231215C00123000,123,24.3,24.9,0.848634326,147.42,4
3246,AMZN231215C00124000,124,23.25,23.85,0.77148666,147.42,4
3247,AMZN231215C00125000,125,22.25,22.75,0.68555002,147.42,4
3248,AMZN231215C00126000,126,21.25,21.9,0.732424551,147.42,4
3249,AMZN231215C00127000,127,20.35,20.8,0.702151416,147.42,4
3250,AMZN231215C00128000,128,19.25,19.9,0.671878281,147.42,4
3251,AMZN231215C00129000,129,18.25,18.9,0.640628594,147.42,4
3252,AMZN231215C00130000,130,17.3,17.9,0.626956855,147.42,4
3253,AMZN231215C00131000,131,16.25,16.7,0.652347227,147.42,4
3254,AMZN231215C00132000,132,15.4,15.7,0.530278135,147.42,4
3255,AMZN231215C00133000,133,14.3,14.9,0.533207793,147.42,4
3256,AMZN231215C00134000,134,13.35,13.85,0.500981553,147.42,4
3257,AMZN231215C00135000,135,12.4,12.75,0.539067109,147.42,4
3258,AMZN231215C00136000,136,11.35,11.95,0.572758179,147.42,4
3259,AMZN231215C00137000,137,10.4,10.95,0.535160898,147.42,4
3260,AMZN231215C00138000,138,9.4,9.75,0.43408769,147.42,4
3261,AMZN231215C00139000,139,8.45,8.8,0.414556636,147.42,4
3262,AMZN231215C00140000,140,7.65,7.95,0.418951123,147.42,4
3263,AMZN231215C00141000,141,6.65,7.05,0.403082141,147.42,4
3264,AMZN231215C00142000,142,5.8,6,0.350104155,147.42,4
3265,AMZN231215C00143000,143,4.9,5.15,0.338385522,147.42,4
3266,AMZN231215C00144000,144,4.2,4.3,0.319831021,147.42,4
3267,AMZN231215C00145000,145,3.45,3.55,0.311042046,147.42,4
3268,AMZN231215C00146000,146,2.8,2.87,0.304206177,147.42,4
3269,AMZN231215C00147000,147,2.23,2.28,0.300299966,147.42,4
3270,AMZN231215C00148000,148,1.73,1.79,0.299811689,147.42,4
3271,AMZN231215C00149000,149,1.31,1.36,0.296882031,147.42,4
3272,AMZN231215C00150000,150,0.98,1,0.29297582,147.42,4
3273,AMZN231215C00152500,152.5,0.43,0.46,0.297858584,147.42,4
3274,AMZN231215C00155000,155,0.19,0.2,0.306647559,147.42,4
3275,AMZN231215C00157500,157.5,0.08,0.1,0.327155166,147.42,4
3276,AMZN231215C00160000,160,0.05,0.06,0.355475195,147.42,4
3277,AMZN231215C00162500,162.5,0.03,0.04,0.386724883,147.42,4
3278,AMZN231215C00165000,165,0.02,0.03,0.421880781,147.42,4
3279,AMZN231215C00167500,167.5,0.01,0.02,0.445318047,147.42,4
3280,AMZN231215C00170000,170,0.01,0.02,0.492192578,147.42,4
3281,AMZN231215C00172500,172.5,0.01,0.02,0.523442266,147.42,4
3282,AMZN231215C00175000,175,0,0.02,0.539067109,147.42,4
3283,AMZN231215C00177500,177.5,0,0.01,0.531254688,147.42,4
3284,AMZN231215C00180000,180,0,0.01,0.578129219,147.42,4
3285,AMZN231215C00182500,182.5,0,0.01,0.609378906,147.42,4
3286,AMZN231215C00185000,185,0,0.01,0.656253438,147.42,4
3287,AMZN231215C00190000,190,0,0.01,0.718752813,147.42,4
3288,AMZN231215C00195000,195,0,0.01,0.781252188,147.42,4
3289,AMZN231215C00200000,200,0,0.01,0.843751562,147.42,4
3290,AMZN231215C00205000,205,0,0.01,0.906250938,147.42,4
3291,AMZN231215C00210000,210,0,0.01,0.968750313,147.42,4
3292,AMZN231222C00070000,70,77.2,77.85,1.757813711,147.42,11
3293,AMZN231222C00075000,75,72.25,72.85,1.652345488,147.42,11
3294,AMZN231222C00085000,85,62.25,63,1.464846426,147.42,11
3295,AMZN231222C00090000,90,57.25,57.9,1.273441133,147.42,11
3296,AMZN231222C00095000,95,52.25,52.85,1.121098145,147.42,11
3297,AMZN231222C00100000,100,47.35,48,1.113285684,147.42,11
3298,AMZN231222C00105000,105,42.25,43,0.956055127,147.42,11
3299,AMZN231222C00110000,110,37.4,38.05,0.902344727,147.42,11
3300,AMZN231222C00115000,115,32.25,33.1,0.759768027,147.42,11
3301,AMZN231222C00120000,120,27.4,28,0.661136201,147.42,11
3302,AMZN231222C00122000,122,25.25,25.95,0.568363691,147.42,11
3303,AMZN231222C00123000,123,24.3,25.05,0.583988535,147.42,11
3304,AMZN231222C00124000,124,23.4,24,0.573246455,147.42,11
3305,AMZN231222C00125000,125,22.3,23.15,0.561039546,147.42,11
3306,AMZN231222C00126000,126,21.45,22,0.539067109,147.42,11
3307,AMZN231222C00127000,127,20.45,21.15,0.542485044,147.42,11
3308,AMZN231222C00128000,128,19.45,20.2,0.527348477,147.42,11
3309,AMZN231222C00129000,129,18.45,19.15,0.585697502,147.42,11
3310,AMZN231222C00130000,130,17.35,18.1,0.549320913,147.42,11
3311,AMZN231222C00131000,131,16.4,17.2,0.545414702,147.42,11
3312,AMZN231222C00132000,132,15.5,16.15,0.509770527,147.42,11
3313,AMZN231222C00133000,133,14.5,15.2,0.494145684,147.42,11
3314,AMZN231222C00134000,134,13.75,14.15,0.458989785,147.42,11
3315,AMZN231222C00135000,135,12.55,13.25,0.451177363,147.42,11
3316,AMZN231222C00136000,136,11.65,12.25,0.424810439,147.42,11
3317,AMZN231222C00137000,137,10.75,11.25,0.398199377,147.42,11
3318,AMZN231222C00138000,138,9.9,10.3,0.379156599,147.42,11
3319,AMZN231222C00139000,139,9,9.2,0.336676555,147.42,11
3320,AMZN231222C00140000,140,8.1,8.3,0.32398137,147.42,11
3321,AMZN231222C00141000,141,7.25,7.4,0.30908894,147.42,11
3322,AMZN231222C00142000,142,6.4,6.65,0.310065493,147.42,11
3323,AMZN231222C00143000,143,5.65,5.8,0.295417202,147.42,11
3324,AMZN231222C00144000,144,4.95,5.05,0.288337195,147.42,11
3325,AMZN231222C00145000,145,4.25,4.35,0.28223374,147.42,11
3326,AMZN231222C00146000,146,3.6,3.7,0.276618562,147.42,11
3327,AMZN231222C00147000,147,3.05,3.1,0.271003384,147.42,11
3328,AMZN231222C00148000,148,2.55,2.59,0.268684071,147.42,11
3329,AMZN231222C00149000,149,2.1,2.17,0.269782693,147.42,11
3330,AMZN231222C00150000,150,1.71,1.75,0.265632344,147.42,11
3331,AMZN231222C00152500,152.5,0.98,1.02,0.264899929,147.42,11
3332,AMZN231222C00155000,155,0.54,0.56,0.265632344,147.42,11
3333,AMZN231222C00157500,157.5,0.29,0.31,0.271247522,147.42,11
3334,AMZN231222C00160000,160,0.16,0.18,0.281257187,147.42,11
3335,AMZN231222C00162500,162.5,0.09,0.11,0.293952373,147.42,11
3336,AMZN231222C00165000,165,0.06,0.07,0.307624111,147.42,11
3337,AMZN231222C00167500,167.5,0.04,0.06,0.333991035,147.42,11
3338,AMZN231222C00170000,170,0.03,0.05,0.357428301,147.42,11
3339,AMZN231222C00172500,172.5,0.02,0.04,0.376959355,147.42,11
3340,AMZN231222C00175000,175,0.02,0.03,0.390631094,147.42,11
3341,AMZN231222C00177500,177.5,0.01,0.03,0.421880781,147.42,11
3342,AMZN231222C00180000,180,0.01,0.02,0.429693203,147.42,11
3343,AMZN231222C00182500,182.5,0.01,0.02,0.453130469,147.42,11
3344,AMZN231222C00185000,185,0.01,0.02,0.476567734,147.42,11
3345,AMZN231222C00190000,190,0,0.02,0.527348477,147.42,11
3346,AMZN231229C00075000,75,72.25,73,1.398440508,147.42,18
3347,AMZN231229C00080000,80,67.35,68.1,1.358401646,147.42,18
3348,AMZN231229C00085000,85,62.35,62.95,1.183597832,147.42,18
3349,AMZN231229C00090000,90,57.3,58.05,1.091801416,147.42,18
3350,AMZN231229C00095000,95,52.35,53,0.986328262,147.42,18
3351,AMZN231229C00100000,100,47.45,48,0.912110254,147.42,18
3352,AMZN231229C00105000,105,42.4,43.05,0.812501875,147.42,18
3353,AMZN231229C00110000,110,37.5,38.2,0.765627344,147.42,18
3354,AMZN231229C00115000,115,32.4,33.15,0.642581699,147.42,18
3355,AMZN231229C00120000,120,27.5,28.25,0.580082324,147.42,18
3356,AMZN231229C00125000,125,22.5,23.3,0.573734731,147.42,18
3357,AMZN231229C00128000,128,19.65,20.35,0.519780193,147.42,18
3358,AMZN231229C00129000,129,18.7,19.3,0.490727749,147.42,18
3359,AMZN231229C00130000,130,17.7,18.35,0.477788425,147.42,18
3360,AMZN231229C00131000,131,16.75,17.25,0.441411836,147.42,18
3361,AMZN231229C00132000,132,15.75,16.4,0.442876665,147.42,18
3362,AMZN231229C00133000,133,14.75,15.4,0.421636643,147.42,18
3363,AMZN231229C00134000,134,13.85,14.2,0.372076592,147.42,18
3364,AMZN231229C00135000,135,12.95,13.25,0.358404854,147.42,18
3365,AMZN231229C00136000,136,11.95,12.5,0.36963521,147.42,18
3366,AMZN231229C00137000,137,11.05,11.55,0.353277952,147.42,18
3367,AMZN231229C00138000,138,10.1,10.5,0.324957922,147.42,18
3368,AMZN231229C00139000,139,9.4,9.6,0.31323929,147.42,18
3369,AMZN231229C00140000,140,8.55,8.75,0.30506066,147.42,18
3370,AMZN231229C00141000,141,7.75,7.9,0.295173064,147.42,18
3371,AMZN231229C00142000,142,7,7.1,0.287726849,147.42,18
3372,AMZN231229C00143000,143,6.25,6.3,0.278083391,147.42,18
3373,AMZN231229C00144000,144,5.5,5.6,0.27417718,147.42,18
3374,AMZN231229C00145000,145,4.85,4.95,0.271369591,147.42,18
3375,AMZN231229C00146000,146,4.2,4.3,0.265510275,147.42,18
3376,AMZN231229C00147000,147,3.65,3.75,0.263923376,147.42,18
3377,AMZN231229C00148000,148,3.15,3.2,0.259040613,147.42,18
3378,AMZN231229C00149000,149,2.69,2.76,0.259040613,147.42,18
3379,AMZN231229C00150000,150,2.29,2.31,0.254646125,147.42,18
3380,AMZN231229C00152500,152.5,1.44,1.48,0.251960605,147.42,18
3381,AMZN231229C00155000,155,0.89,0.92,0.252204744,147.42,18
3382,AMZN231229C00157500,157.5,0.53,0.55,0.252937158,147.42,18
3383,AMZN231229C00160000,160,0.31,0.33,0.256355093,147.42,18
3384,AMZN231229C00162500,162.5,0.18,0.2,0.261726133,147.42,18
3385,AMZN231229C00165000,165,0.11,0.13,0.271003384,147.42,18
3386,AMZN231229C00167500,167.5,0.07,0.09,0.28223374,147.42,18
3387,AMZN231229C00170000,170,0.05,0.06,0.291022715,147.42,18
3388,AMZN231229C00172500,172.5,0.04,0.05,0.308600664,147.42,18
3389,AMZN231229C00175000,175,0.03,0.04,0.322272402,147.42,18
3390,AMZN231229C00177500,177.5,0.02,0.04,0.345709668,147.42,18
3391,AMZN231229C00180000,180,0.02,0.03,0.355475195,147.42,18
3392,AMZN231229C00182500,182.5,0.01,0.03,0.376959355,147.42,18
3393,AMZN231229C00185000,185,0.01,0.02,0.378912461,147.42,18
3394,AMZN240105C00075000,75,72.25,73.2,1.269534902,147.42,25
3395,AMZN240105C00100000,100,47.3,48.15,0.779299082,147.42,25
3396,AMZN240105C00105000,105,42.55,43.45,0.786134951,147.42,25
3397,AMZN240105C00110000,110,37.35,38.2,0.63037479,147.42,25
3398,AMZN240105C00115000,115,32.4,33.2,0.557133335,147.42,25
3399,AMZN240105C00120000,120,27.55,28.55,0.533940208,147.42,25
3400,AMZN240105C00125000,125,22.55,23.6,0.533696069,147.42,25
3401,AMZN240105C00128000,128,19.85,20.45,0.458013232,147.42,25
3402,AMZN240105C00129000,129,18.7,19.65,0.464849102,147.42,25
3403,AMZN240105C00130000,130,17.9,18.45,0.421392505,147.42,25
3404,AMZN240105C00131000,131,16.9,17.7,0.432622861,147.42,25
3405,AMZN240105C00132000,132,15.95,16.7,0.413580083,147.42,25
3406,AMZN240105C00133000,133,14.95,15.75,0.399664207,147.42,25
3407,AMZN240105C00134000,134,14.1,14.85,0.390631094,147.42,25
3408,AMZN240105C00135000,135,13.1,13.75,0.360846235,147.42,25
3409,AMZN240105C00136000,136,12.5,13,0.365240723,147.42,25
3410,AMZN240105C00137000,137,11.6,11.8,0.326178613,147.42,25
3411,AMZN240105C00138000,138,10.65,10.9,0.315192395,147.42,25
3412,AMZN240105C00139000,139,9.85,10.05,0.307379973,147.42,25
3413,AMZN240105C00140000,140,9.05,9.25,0.302253071,147.42,25
3414,AMZN240105C00141000,141,8.3,8.4,0.29163306,147.42,25
3415,AMZN240105C00142000,142,7.55,7.65,0.286994435,147.42,25
3416,AMZN240105C00143000,143,6.8,6.9,0.280524773,147.42,25
3417,AMZN240105C00144000,144,6.1,6.25,0.278937875,147.42,25
3418,AMZN240105C00145000,145,5.45,5.55,0.271735798,147.42,25
3419,AMZN240105C00146000,146,4.85,4.95,0.269050278,147.42,25
3420,AMZN240105C00147000,147,4.3,4.35,0.263923376,147.42,25
3421,AMZN240105C00148000,148,3.75,3.85,0.262824755,147.42,25
3422,AMZN240105C00149000,149,3.3,3.4,0.262458547,147.42,25
3423,AMZN240105C00150000,150,2.87,2.92,0.257819922,147.42,25
3424,AMZN240105C00152500,152.5,1.96,2.01,0.253913711,147.42,25
3425,AMZN240105C00155000,155,1.3,1.37,0.254157849,147.42,25
3426,AMZN240105C00157500,157.5,0.84,0.88,0.251960605,147.42,25
3427,AMZN240105C00160000,160,0.54,0.57,0.253425435,147.42,25
3428,AMZN240105C00162500,162.5,0.34,0.37,0.256599231,147.42,25
3429,AMZN240105C00165000,165,0.22,0.24,0.260261304,147.42,25
3430,AMZN240105C00167500,167.5,0.14,0.16,0.26612062,147.42,25
3431,AMZN240105C00170000,170,0.09,0.11,0.272956489,147.42,25
3432,AMZN240105C00172500,172.5,0.06,0.08,0.28223374,147.42,25
3433,AMZN240105C00175000,175,0.05,0.06,0.291022715,147.42,25
3434,AMZN240105C00177500,177.5,0.04,0.05,0.304694453,147.42,25
3435,AMZN240105C00180000,180,0.03,0.04,0.31445998,147.42,25
3436,AMZN240105C00182500,182.5,0.02,0.04,0.333991035,147.42,25
3437,AMZN240105C00185000,185,0.02,0.04,0.351568984,147.42,25
3438,AMZN240112C00100000,100,46.9,48.9,0.751955605,147.42,32
3439,AMZN240112C00110000,110,37.75,38.35,0.628909961,147.42,32
3440,AMZN240112C00115000,115,32.45,33.6,0.545414702,147.42,32
3441,AMZN240112C00120000,120,27.5,29,0.507329146,147.42,32
3442,AMZN240112C00125000,125,22.65,24.2,0.5402878,147.42,32
3443,AMZN240112C00130000,130,17.4,19.45,0.472661523,147.42,32
3444,AMZN240112C00131000,131,16.7,18,0.413335945,147.42,32
3445,AMZN240112C00132000,132,15.9,16.95,0.390997301,147.42,32
3446,AMZN240112C00133000,133,14.6,16.05,0.382330396,147.42,32
3447,AMZN240112C00134000,134,14.5,15,0.360113821,147.42,32
3448,AMZN240112C00135000,135,13.2,14.05,0.346442083,147.42,32
3449,AMZN240112C00136000,136,12.75,13.15,0.336432417,147.42,32
3450,AMZN240112C00137000,137,11.35,12.45,0.341071042,147.42,32
3451,AMZN240112C00138000,138,10.95,11.55,0.329108271,147.42,32
3452,AMZN240112C00139000,139,9.55,10.6,0.312873082,147.42,32
3453,AMZN240112C00140000,140,9.4,9.8,0.30652549,147.42,32
3454,AMZN240112C00141000,141,8.65,9.05,0.302131002,147.42,32
3455,AMZN240112C00142000,142,7.85,8.3,0.296271686,147.42,32
3456,AMZN240112C00143000,143,7.4,7.55,0.289069609,147.42,32
3457,AMZN240112C00144000,144,6.7,6.85,0.283454431,147.42,32
3458,AMZN240112C00145000,145,6.1,6.55,0.299445482,147.42,32
3459,AMZN240112C00146000,146,5.4,5.6,0.276008217,147.42,32
3460,AMZN240112C00147000,147,4.75,5.05,0.273933042,147.42,32
3461,AMZN240112C00148000,148,4.25,4.55,0.27283442,147.42,32
3462,AMZN240112C00149000,149,3.9,4.05,0.269904762,147.42,32
3463,AMZN240112C00150000,150,3.3,3.8,0.279426151,147.42,32
3464,AMZN240112C00152500,152.5,2.34,2.6,0.261970271,147.42,32
3465,AMZN240112C00155000,155,1.6,2,0.269294417,147.42,32
3466,AMZN240112C00157500,157.5,1.07,1.44,0.269294417,147.42,32
3467,AMZN240112C00160000,160,0.84,0.88,0.256843369,147.42,32
3468,AMZN240112C00162500,162.5,0.56,0.6,0.25806406,147.42,32
3469,AMZN240112C00165000,165,0.38,0.41,0.260261304,147.42,32
3470,AMZN240112C00167500,167.5,0.25,0.29,0.265144067,147.42,32
3471,AMZN240112C00170000,170,0.17,0.2,0.268562002,147.42,32
3472,AMZN240112C00172500,172.5,0.12,0.14,0.273444766,147.42,32
3473,AMZN240112C00175000,175,0.09,0.11,0.28223374,147.42,32
3474,AMZN240112C00180000,180,0.05,0.06,0.294928926,147.42,32
3475,AMZN240112C00185000,185,0,0.04,0.312506875,147.42,32
3476,AMZN240119C00045000,45,102.3,103.1,1.699220254,147.42,39
3477,AMZN240119C00050000,50,97.35,98.05,1.556642842,147.42,39
3478,AMZN240119C00052000,52,95.35,96.15,1.54101792,147.42,39
3479,AMZN240119C00053000,53,93.85,94.65,1.435549697,147.42,39
3480,AMZN240119C00054000,54,86.8,87.9,1.00E-05,147.42,39
3481,AMZN240119C00055000,55,92.4,93.1,1.463869868,147.42,39
3482,AMZN240119C00056000,56,69.6,70.65,1.00E-05,147.42,39
3483,AMZN240119C00057000,57,74.9,76.05,1.00E-05,147.42,39
3484,AMZN240119C00058000,58,89.45,90.1,1.406252969,147.42,39
3485,AMZN240119C00059000,59,88.5,89.25,1.439455928,147.42,39
3486,AMZN240119C00060000,60,87.45,88.25,1.402346738,147.42,39
3487,AMZN240119C00061000,61,84.85,86.2,1.00E-05,147.42,39
3488,AMZN240119C00062000,62,85.5,86.25,1.368167222,147.42,39
3489,AMZN240119C00063000,63,84.45,85.25,1.33203459,147.42,39
3490,AMZN240119C00064000,64,83.45,84.25,1.309573765,147.42,39
3491,AMZN240119C00065000,65,82.45,83.3,1.299808188,147.42,39
3492,AMZN240119C00066000,66,80.85,81.95,1.312503437,147.42,39
3493,AMZN240119C00067000,67,80.4,81.2,1.219730464,147.42,39
3494,AMZN240119C00068000,68,79.4,80.25,1.210941445,147.42,39
3495,AMZN240119C00069000,69,77.65,78.3,1.00E-05,147.42,39
3496,AMZN240119C00069500,69.5,77.9,78.65,1.155277661,147.42,39
3497,AMZN240119C00070000,70,77.6,78.25,1.214847676,147.42,39
3498,AMZN240119C00071000,71,76.6,77.2,1.183597832,147.42,39
3499,AMZN240119C00072000,72,75.45,76.15,1.118168472,147.42,39
3500,AMZN240119C00072500,72.5,57.75,58.85,1.00E-05,147.42,39
3501,AMZN240119C00073000,73,74.6,75.15,1.132816836,147.42,39
3502,AMZN240119C00074000,74,73.5,74.3,1.124027817,147.42,39
3503,AMZN240119C00075000,75,72.5,73.2,1.083500676,147.42,39
3504,AMZN240119C00076000,76,71.65,73.2,1.251468586,147.42,39
3505,AMZN240119C00077000,77,70.5,71.3,1.066410918,147.42,39
3506,AMZN240119C00077500,77.5,70.1,70.85,1.084965513,147.42,39
3507,AMZN240119C00078000,78,69.3,69.85,0.876954355,147.42,39
3508,AMZN240119C00079000,79,68.65,69.2,1.038090747,147.42,39
3509,AMZN240119C00080000,80,67.65,68.2,1.019536152,147.42,39
3510,AMZN240119C00081000,81,66.65,67.35,1.027348613,147.42,39
3511,AMZN240119C00082000,82,65.55,66.35,0.992187578,147.42,39
3512,AMZN240119C00083000,83,64.5,65.25,0.947754429,147.42,39
3513,AMZN240119C00084000,84,63.6,64.35,0.964844102,147.42,39
3514,AMZN240119C00085000,85,62.7,63.3,0.955078574,147.42,39
3515,AMZN240119C00086000,86,61.7,62.4,0.952637192,147.42,39
3516,AMZN240119C00087000,87,60.55,61.25,0.888184712,147.42,39
3517,AMZN240119C00088000,88,59.6,60.4,0.902833003,147.42,39
3518,AMZN240119C00089000,89,58.7,59.35,0.893067476,147.42,39
3519,AMZN240119C00090000,90,57.55,58.25,0.838380522,147.42,39
3520,AMZN240119C00091000,91,56.7,57.35,0.859376406,147.42,39
3521,AMZN240119C00092000,92,55.75,56.35,0.849610879,147.42,39
3522,AMZN240119C00093000,93,54.7,55.3,0.819337744,147.42,39
3523,AMZN240119C00094000,94,53.75,54.35,0.816408086,147.42,39
3524,AMZN240119C00095000,95,52.65,53.45,0.800294966,147.42,39
3525,AMZN240119C00096000,96,51.75,52.4,0.790041162,147.42,39
3526,AMZN240119C00097000,97,50.65,51.45,0.768068726,147.42,39
