,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
0,AAPL231215C00065000,65,130.5,131.25,4.011723735,195.71,4
1,AAPL231215C00070000,70,125.4,126,4.050786187,195.71,4
2,AAPL231215C00075000,75,120.5,121.3,3.582032295,195.71,4
3,AAPL231215C00080000,80,115.5,116.25,3.296876758,195.71,4
4,AAPL231215C00085000,85,110.55,111.3,3.199220752,195.71,4
5,AAPL231215C00090000,90,105.55,106.3,2.99609626,195.71,4
6,AAPL231215C00095000,95,100.55,101.05,2.50781623,195.71,4
7,AAPL231215C00100000,100,95.55,96.05,2.343754141,195.71,4
8,AAPL231215C00105000,105,90.55,91.25,2.406253984,195.71,4
9,AAPL231215C00110000,110,85.55,86.35,2.318363579,195.71,4
10,AAPL231215C00115000,115,80.55,81.25,2.085942285,195.71,4
11,AAPL231215C00120000,120,75.6,76.1,1.855469473,195.71,4
12,AAPL231215C00125000,125,70.6,71.2,1.79101667,195.71,4
13,AAPL231215C00130000,130,65.5,66.1,1.492190039,195.71,4
14,AAPL231215C00135000,135,60.6,61.4,1.619142529,195.71,4
15,AAPL231215C00140000,140,55.6,56.4,1.480471348,195.71,4
16,AAPL231215C00145000,145,50.6,51.4,1.345706396,195.71,4
17,AAPL231215C00150000,150,45.6,46.4,1.214847676,195.71,4
18,AAPL231215C00155000,155,40.55,41.1,0.937500625,195.71,4
19,AAPL231215C00157500,157.5,38.15,38.9,1.039067305,195.71,4
20,AAPL231215C00160000,160,35.65,36.4,0.975586182,195.71,4
21,AAPL231215C00162500,162.5,33.15,33.95,0.925781992,195.71,4
22,AAPL231215C00165000,165,30.65,31.35,0.836915693,195.71,4
23,AAPL231215C00167500,167.5,28.15,28.8,0.762697686,195.71,4
24,AAPL231215C00170000,170,25.65,26,0.606449248,195.71,4
25,AAPL231215C00172500,172.5,23.2,23.75,0.641605146,195.71,4
26,AAPL231215C00175000,175,20.7,21.2,0.570316797,195.71,4
27,AAPL231215C00177500,177.5,18.2,18.7,0.51074708,195.71,4
28,AAPL231215C00180000,180,15.7,16.25,0.547367808,195.71,4
29,AAPL231215C00182500,182.5,13.25,13.8,0.491216025,195.71,4
30,AAPL231215C00185000,185,10.95,11.3,0.42066009,195.71,4
31,AAPL231215C00187500,187.5,8.5,8.8,0.348395188,195.71,4
32,AAPL231215C00190000,190,6.15,6.35,0.281501326,195.71,4
33,AAPL231215C00192500,192.5,4,4.1,0.23389438,195.71,4
34,AAPL231215C00195000,195,2.25,2.28,0.208748147,195.71,4
35,AAPL231215C00197500,197.5,1.02,1.05,0.196785376,195.71,4
36,AAPL231215C00200000,200,0.4,0.41,0.194343994,195.71,4
37,AAPL231215C00202500,202.5,0.14,0.16,0.203132969,195.71,4
38,AAPL231215C00205000,205,0.06,0.07,0.21778126,195.71,4
39,AAPL231215C00207500,207.5,0.03,0.04,0.242195078,195.71,4
40,AAPL231215C00210000,210,0.02,0.03,0.27149166,195.71,4
41,AAPL231215C00212500,212.5,0,0.02,0.29297582,195.71,4
42,AAPL231215C00215000,215,0,0.02,0.33203793,195.71,4
43,AAPL231215C00217500,217.5,0,0.01,0.335944141,195.71,4
44,AAPL231215C00220000,220,0,0.01,0.37500625,195.71,4
45,AAPL231215C00225000,225,0,0.01,0.437505625,195.71,4
46,AAPL231215C00230000,230,0,0.01,0.500005,195.71,4
47,AAPL231215C00235000,235,0,0.01,0.515629844,195.71,4
48,AAPL231215C00240000,240,0,0.01,0.578129219,195.71,4
49,AAPL231215C00245000,245,0,0.01,0.62500375,195.71,4
50,AAPL231215C00250000,250,0,0.01,0.687503125,195.71,4
51,AAPL231215C00255000,255,0,0.01,0.718752813,195.71,4
52,AAPL231215C00260000,260,0,0.01,0.781252188,195.71,4
53,AAPL231215C00265000,265,0,0.01,0.812501875,195.71,4
54,AAPL231215C00270000,270,0,0.01,0.87500125,195.71,4
55,AAPL231215C00275000,275,0,0.01,0.906250938,195.71,4
56,AAPL231215C00280000,280,0,0.01,0.968750313,195.71,4
57,AAPL231215C00285000,285,0,0.01,1.000005,195.71,4
58,AAPL231215C00290000,290,0,0.01,1.031254844,195.71,4
59,AAPL231215C00295000,295,0,0.01,1.093754531,195.71,4
60,AAPL231222C00060000,60,135.55,136.1,2.648440879,195.71,11
61,AAPL231222C00075000,75,120.55,121.15,2.226566934,195.71,11
62,AAPL231222C00080000,80,115.6,116.15,2.128910928,195.71,11
63,AAPL231222C00085000,85,110.6,111.15,1.992187539,195.71,11
64,AAPL231222C00100000,100,95.65,96.2,1.691407793,195.71,11
65,AAPL231222C00105000,105,86.3,86.8,1.00E-05,195.71,11
66,AAPL231222C00110000,110,85.65,86.25,1.49609627,195.71,11
67,AAPL231222C00120000,120,75.7,76.25,1.312503437,195.71,11
68,AAPL231222C00125000,125,70.7,71.3,1.232425713,195.71,11
69,AAPL231222C00130000,130,65.7,66.3,1.136723066,195.71,11
