,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
2105,GOOGL231215C00015000,15,119.55,121.7,10.29687856,134.99,4
2106,GOOGL231215C00017500,17.5,102.75,105.4,1.00E-05,134.99,4
2107,GOOGL231215C00020000,20,107.25,110.55,1.00E-05,134.99,4
2108,GOOGL231215C00022500,22.5,114.55,116.4,11.82812761,134.99,4
2109,GOOGL231215C00025000,25,112.05,114,11.15234678,134.99,4
2110,GOOGL231215C00030000,30,103.7,105.8,7.316407104,134.99,4
2111,GOOGL231215C00035000,35,101.25,105.35,9.154301154,134.99,4
2112,GOOGL231215C00040000,40,97.05,99,8.093754941,134.99,4
2113,GOOGL231215C00045000,45,87.1,88.15,1.00E-05,134.99,4
2114,GOOGL231215C00050000,50,84.6,85.85,4.01562998,134.99,4
2115,GOOGL231215C00055000,55,74.2,78.2,1.00E-05,134.99,4
2116,GOOGL231215C00060000,60,74.65,76.35,3.775391187,134.99,4
2117,GOOGL231215C00065000,65,66.45,67.35,1.00E-05,134.99,4
2118,GOOGL231215C00070000,70,64.65,65.45,2.289066777,134.99,4
2119,GOOGL231215C00075000,75,59.25,60.6,2.935549536,134.99,4
2120,GOOGL231215C00080000,80,54.05,57.2,2.677737681,134.99,4
2121,GOOGL231215C00085000,85,49.65,50.9,2.078129805,134.99,4
2122,GOOGL231215C00090000,90,44.45,45.85,1.687501563,134.99,4
2123,GOOGL231215C00095000,95,39.6,40.45,1.210941445,134.99,4
2124,GOOGL231215C00100000,100,34.45,36.25,1.49609627,134.99,4
2125,GOOGL231215C00105000,105,28.9,31.1,0.781252188,134.99,4
2126,GOOGL231215C00110000,110,24.45,26.35,1.12305126,134.99,4
2127,GOOGL231215C00113000,113,21.35,23.2,0.927735098,134.99,4
2128,GOOGL231215C00115000,115,19.4,21.3,0.89648541,134.99,4
2129,GOOGL231215C00116000,116,18.35,20.05,0.765627344,134.99,4
2130,GOOGL231215C00117000,117,17.55,19.1,0.806642559,134.99,4
2131,GOOGL231215C00118000,118,16.4,17.95,0.677737598,134.99,4
2132,GOOGL231215C00119000,119,15.45,16.7,0.558598164,134.99,4
2133,GOOGL231215C00120000,120,14.35,16.7,0.777834253,134.99,4
2134,GOOGL231215C00121000,121,12.9,15.25,0.960937891,134.99,4
2135,GOOGL231215C00122000,122,12.65,14,0.615238223,134.99,4
2136,GOOGL231215C00123000,123,11.75,13.35,0.662112754,134.99,4
2137,GOOGL231215C00124000,124,10.6,12.05,0.538090557,134.99,4
2138,GOOGL231215C00125000,125,9.8,10.45,0.544926426,134.99,4
2139,GOOGL231215C00126000,126,8.1,9.5,0.519536055,134.99,4
2140,GOOGL231215C00127000,127,7.6,9.1,0.631351343,134.99,4
2141,GOOGL231215C00128000,128,6.85,7.7,0.487309814,134.99,4
2142,GOOGL231215C00129000,129,5.5,8.25,0.755617678,134.99,4
2143,GOOGL231215C00130000,130,5.3,5.45,0.333502759,134.99,4
2144,GOOGL231215C00131000,131,3.85,4.6,0.322760679,134.99,4
2145,GOOGL231215C00132000,132,2.98,3.8,0.312995151,134.99,4
2146,GOOGL231215C00133000,133,2.98,3.05,0.302253071,134.99,4
2147,GOOGL231215C00134000,134,2.33,2.41,0.29834686,134.99,4
2148,GOOGL231215C00135000,135,1.79,1.84,0.292731682,134.99,4
2149,GOOGL231215C00136000,136,1.35,1.38,0.291022715,134.99,4
2150,GOOGL231215C00137000,137,0.97,1.02,0.291999268,134.99,4
2151,GOOGL231215C00138000,138,0.7,0.75,0.295905479,134.99,4
2152,GOOGL231215C00139000,139,0.5,0.53,0.296882031,134.99,4
2153,GOOGL231215C00140000,140,0.35,0.36,0.296393755,134.99,4
2154,GOOGL231215C00141000,141,0.26,0.3,0.316413086,134.99,4
2155,GOOGL231215C00142000,142,0.18,0.19,0.311530322,134.99,4
2156,GOOGL231215C00143000,143,0.12,0.15,0.325202061,134.99,4
2157,GOOGL231215C00144000,144,0.09,0.11,0.333014482,134.99,4
2158,GOOGL231215C00145000,145,0.08,0.09,0.347662773,134.99,4
2159,GOOGL231215C00146000,146,0.06,0.15,0.413091807,134.99,4
2160,GOOGL231215C00147000,147,0.04,0.06,0.373053145,134.99,4
2161,GOOGL231215C00148000,148,0.03,0.05,0.386724883,134.99,4
2162,GOOGL231215C00149000,149,0.03,0.05,0.410162148,134.99,4
2163,GOOGL231215C00150000,150,0.03,0.04,0.419927676,134.99,4
