,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
6612,META231215C00105000,105,227.1,228.75,3.957031357,332.75,4
6613,META231215C00110000,110,222,223.55,3.125002188,332.75,4
6614,META231215C00115000,115,217,219,3.820312949,332.75,4
6615,META231215C00120000,120,211.85,213.6,4.362309235,332.75,4
6616,META231215C00125000,125,207.05,209,3.578126055,332.75,4
6617,META231215C00130000,130,202.2,204,3.554688613,332.75,4
6618,META231215C00135000,135,197.3,198.9,3.419923325,332.75,4
6619,META231215C00140000,140,192.05,193.85,3.066408584,332.75,4
6620,META231215C00145000,145,187.3,188.8,3.103517866,332.75,4
6621,META231215C00150000,150,182.1,184,2.986330659,332.75,4
6622,META231215C00155000,155,177.1,179.05,2.902346494,332.75,4
6623,META231215C00160000,160,172,174.05,2.730471924,332.75,4
6624,META231215C00165000,165,167.3,168.65,2.558597354,332.75,4
6625,META231215C00170000,170,162.15,164,2.580081675,332.75,4
6626,META231215C00175000,175,156.95,158.55,0.500005,332.75,4
6627,META231215C00180000,180,152.35,154.05,2.49219127,332.75,4
6628,META231215C00185000,185,147.25,149,2.3300823,332.75,4
6629,META231215C00190000,190,142.15,144.1,2.234379414,332.75,4
6630,META231215C00195000,195,137.1,138.9,2.023442441,332.75,4
6631,META231215C00200000,200,132.15,134.1,2.049809563,332.75,4
6632,META231215C00205000,205,126.9,128.7,1.531252344,332.75,4
6633,META231215C00210000,210,122.1,124.1,1.855469473,332.75,4
6634,META231215C00215000,215,117.35,118.95,1.806641592,332.75,4
6635,META231215C00220000,220,112.5,113.9,1.75390748,332.75,4
6636,META231215C00225000,225,107.25,108.65,1.484377578,332.75,4
6637,META231215C00230000,230,102.5,104,1.614259741,332.75,4
6638,META231215C00235000,235,97.4,99.15,1.54492415,332.75,4
6639,META231215C00240000,240,92.2,94.1,1.400393623,332.75,4
6640,META231215C00245000,245,87.25,88.8,1.25000375,332.75,4
6641,META231215C00250000,250,82.45,83.55,1.160160449,332.75,4
6642,META231215C00255000,255,77.4,78.75,1.134769951,332.75,4
6643,META231215C00260000,260,72.4,73.75,1.062504688,332.75,4
6644,META231215C00265000,265,67.45,68.75,1.00391123,332.75,4
6645,META231215C00267500,267.5,65.05,66.25,0.990722749,332.75,4
6646,META231215C00270000,270,62.45,63.65,0.910157148,332.75,4
6647,META231215C00275000,275,57.55,58.8,0.893067476,332.75,4
6648,META231215C00280000,280,52.5,53.8,0.812990151,332.75,4
6649,META231215C00282500,282.5,50.05,51.35,0.794923926,332.75,4
6650,META231215C00285000,285,47.55,48.9,0.767092173,332.75,4
6651,META231215C00287500,287.5,45.1,46.2,0.708010732,332.75,4
6652,META231215C00290000,290,42.55,43.85,0.688479678,332.75,4
6653,META231215C00292500,292.5,40.1,41.25,0.645511357,332.75,4
6654,META231215C00295000,295,37.65,38.8,0.624515474,332.75,4
6655,META231215C00297500,297.5,35.1,36.45,0.601078208,332.75,4
6656,META231215C00300000,300,32.9,33.85,0.586918193,332.75,4
6657,META231215C00302500,302.5,30.15,31.5,0.539555386,332.75,4
6658,META231215C00305000,305,27.8,28.9,0.507817422,332.75,4
6659,META231215C00307500,307.5,25.3,26.55,0.578129219,332.75,4
6660,META231215C00310000,310,22.85,24.1,0.541508491,332.75,4
6661,META231215C00312500,312.5,20.4,21.5,0.486089124,332.75,4
6662,META231215C00315000,315,18.05,18.95,0.43677321,332.75,4
6663,META231215C00317500,317.5,16.05,16.55,0.404058694,332.75,4
6664,META231215C00320000,320,13.65,14.35,0.387945574,332.75,4
6665,META231215C00322500,322.5,11.6,12.15,0.365728999,332.75,4
6666,META231215C00325000,325,9.95,10.25,0.360357959,332.75,4
6667,META231215C00327500,327.5,8.25,8.45,0.352057261,332.75,4
6668,META231215C00330000,330,6.65,6.85,0.346686221,332.75,4
6669,META231215C00332500,332.5,5.25,5.4,0.339606213,332.75,4
6670,META231215C00335000,335,4.1,4.25,0.339972421,332.75,4
6671,META231215C00337500,337.5,3.1,3.25,0.338019315,332.75,4
6672,META231215C00340000,340,2.34,2.43,0.336310348,332.75,4
6673,META231215C00342500,342.5,1.72,1.8,0.336920693,332.75,4
6674,META231215C00345000,345,1.27,1.32,0.33875173,332.75,4
6675,META231215C00347500,347.5,0.91,0.95,0.340338628,332.75,4
6676,META231215C00350000,350,0.67,0.7,0.345709668,332.75,4
6677,META231215C00352500,352.5,0.47,0.53,0.354010366,332.75,4
6678,META231215C00355000,355,0.37,0.4,0.361822788,332.75,4
6679,META231215C00357500,357.5,0.29,0.31,0.371588315,332.75,4
6680,META231215C00360000,360,0.21,0.25,0.383795225,332.75,4
6681,META231215C00365000,365,0.13,0.16,0.405279385,332.75,4
6682,META231215C00370000,370,0.08,0.11,0.42871665,332.75,4
6683,META231215C00375000,375,0.05,0.08,0.455083574,332.75,4
6684,META231215C00380000,380,0.05,0.06,0.47852084,332.75,4
6685,META231215C00385000,385,0.02,0.04,0.496098789,332.75,4
6686,META231215C00390000,390,0,0.04,0.535160898,332.75,4
6687,META231215C00395000,395,0,0.05,0.54297332,332.75,4
6688,META231215C00400000,400,0.01,0.04,0.578129219,332.75,4
6689,META231215C00405000,405,0,0.04,0.601566484,332.75,4
6690,META231215C00410000,410,0,0.03,0.617191328,332.75,4
6691,META231215C00415000,415,0,0.03,0.648441016,332.75,4
6692,META231215C00420000,420,0,0.01,0.62500375,332.75,4
6693,META231215C00425000,425,0,0.03,0.710940391,332.75,4
6694,META231215C00430000,430,0,0.01,0.687503125,332.75,4
6695,META231215C00435000,435,0,0.04,0.79297082,332.75,4
6696,META231215C00440000,440,0,0.04,0.820314297,332.75,4
6697,META231215C00445000,445,0,0.01,0.7500025,332.75,4
6698,META231215C00450000,450,0,0.04,0.882813672,332.75,4
6699,META231215C00455000,455,0,0.01,0.812501875,332.75,4
6700,META231215C00460000,460,0,0.04,0.937500625,332.75,4
6701,META231215C00465000,465,0,0.04,0.968750313,332.75,4
6702,META231215C00470000,470,0,0.04,0.992187578,332.75,4
6703,META231215C00475000,475,0,0.04,1.023442383,332.75,4
6704,META231215C00480000,480,0,0.01,0.937500625,332.75,4
6705,META231215C00485000,485,0,0.01,0.968750313,332.75,4
6706,META231215C00490000,490,0,0.01,0.984375156,332.75,4
6707,META231215C00495000,495,0,0.01,1.000005,332.75,4
6708,META231215C00500000,500,0,0.04,1.156254219,332.75,4
6709,META231215C00505000,505,0,0.02,1.109379453,332.75,4
6710,META231215C00510000,510,0,0.01,1.093754531,332.75,4
6711,META231215C00515000,515,0.06,0.15,1.441409043,332.75,4
6712,META231215C00520000,520,0,0.03,1.218753906,332.75,4
6713,META231215C00525000,525,0,0.01,1.156254219,332.75,4
6714,META231215C00530000,530,0,0.01,1.156254219,332.75,4
6715,META231215C00535000,535,0,0,0.500005,332.75,4
6716,META231215C00540000,540,0,0.01,1.218753906,332.75,4
6717,META231215C00545000,545,0.05,0.11,1.558595957,332.75,4
6718,META231215C00550000,550,0,0.01,1.25000375,332.75,4
6719,META231215C00555000,555,0,0.01,1.281253594,332.75,4
6720,META231215C00560000,560,0,0.04,1.437502813,332.75,4
6721,META231215C00570000,570,0.03,0.07,1.605470723,332.75,4
6722,META231215C00580000,580,0.02,0.14,1.726563867,332.75,4
6723,META231215C00590000,590,0,0.04,1.562502187,332.75,4
6724,META231215C00600000,600,0,0.01,1.437502813,332.75,4
6725,META231215C00610000,610,0,0.07,1.726563867,332.75,4
6726,META231215C00620000,620,0,0.05,1.718751406,332.75,4
6727,META231222C00090000,90,242.2,244.1,3.193361392,332.75,11
6728,META231222C00100000,100,232.45,234.4,3.17187707,332.75,11
6729,META231222C00110000,110,222.2,224.25,2.788088967,332.75,11
6730,META231222C00120000,120,212.2,213.75,2.3398479,332.75,11
6731,META231222C00150000,150,182.45,184.05,2.068364204,332.75,11
6732,META231222C00160000,160,171.75,174.35,1.783204209,332.75,11
6733,META231222C00170000,170,162.1,164.4,1.77050896,332.75,11
6734,META231222C00180000,180,152.55,154.55,1.759766826,332.75,11
6735,META231222C00190000,190,142.6,144.6,1.638673682,332.75,11
6736,META231222C00195000,195,137.1,139.4,1.442385601,332.75,11
6737,META231222C00200000,200,132.4,134.7,1.490725203,332.75,11
6738,META231222C00210000,210,122.4,124.45,1.326175244,332.75,11
6739,META231222C00215000,215,117.3,119.05,1.176761929,332.75,11
6740,META231222C00225000,225,107.55,109.45,1.173343977,332.75,11
6741,META231222C00230000,230,102.8,103.85,1.066410918,332.75,11
6742,META231222C00235000,235,97.8,98.85,1.012700249,332.75,11
6743,META231222C00240000,240,92.85,93.9,0.973633076,332.75,11
6744,META231222C00245000,245,87.85,88.9,0.920899229,332.75,11
6745,META231222C00250000,250,82.9,83.95,0.881348843,332.75,11
6746,META231222C00255000,255,77.9,78.9,0.823732231,332.75,11
6747,META231222C00260000,260,72.95,74,0.789064609,332.75,11
6748,META231222C00265000,265,67.95,69,0.738283867,332.75,11
6749,META231222C00270000,270,63,64,0.692385889,332.75,11
6750,META231222C00275000,275,58,59.05,0.64648791,332.75,11
