,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
4359,NVDA231215C00140000,140,334.85,335.6,3.99218752,475.06,4
4360,NVDA231215C00145000,145,329.85,330.55,3.816406709,475.06,4
4361,NVDA231215C00150000,150,324.85,325.6,3.777344307,475.06,4
4362,NVDA231215C00155000,155,319.85,320.6,3.67187582,475.06,4
4363,NVDA231215C00160000,160,314.85,315.55,3.511719971,475.06,4
4364,NVDA231215C00165000,165,309.75,310.6,3.347657881,475.06,4
4365,NVDA231215C00170000,170,304.85,305.65,3.437501406,475.06,4
4366,NVDA231215C00175000,175,299.9,300.6,3.343751641,475.06,4
4367,NVDA231215C00180000,180,294.9,295.85,3.453126367,475.06,4
4368,NVDA231215C00185000,185,289.9,290.6,3.16797083,475.06,4
4369,NVDA231215C00190000,190,284.9,285.65,3.126955308,475.06,4
4370,NVDA231215C00195000,195,279.95,280.6,3.042971143,475.06,4
4371,NVDA231215C00200000,200,274.9,275.65,2.960940098,475.06,4
4372,NVDA231215C00205000,205,269.9,270.6,2.843752891,475.06,4
4373,NVDA231215C00210000,210,264.95,265.65,2.841799771,475.06,4
4374,NVDA231215C00215000,215,259.95,260.65,2.765628086,475.06,4
4375,NVDA231215C00220000,220,254.95,255.65,2.691409521,475.06,4
4376,NVDA231215C00225000,225,249.95,250.65,2.617190957,475.06,4
4377,NVDA231215C00230000,230,244.95,245.7,2.578128555,475.06,4
4378,NVDA231215C00235000,235,239.95,240.7,2.50586311,475.06,4
4379,NVDA231215C00240000,240,234.95,235.7,2.437503906,475.06,4
4380,NVDA231215C00245000,245,229.95,230.7,2.369144702,475.06,4
4381,NVDA231215C00250000,250,225,225.65,2.302738618,475.06,4
4382,NVDA231215C00255000,255,220,220.75,2.287113657,475.06,4
4383,NVDA231215C00260000,260,215,215.7,2.197270132,475.06,4
4384,NVDA231215C00265000,265,210,210.7,2.134770288,475.06,4
4385,NVDA231215C00270000,270,205,205.7,2.072270444,475.06,4
4386,NVDA231215C00275000,275,200,200.75,2.032231482,475.06,4
4387,NVDA231215C00280000,280,195.05,195.7,1.971679829,475.06,4
4388,NVDA231215C00285000,285,190,191.1,2.030278362,475.06,4
4389,NVDA231215C00290000,290,185,185.75,1.853516357,475.06,4
4390,NVDA231215C00295000,295,180,180.7,1.775391748,475.06,4
4391,NVDA231215C00300000,300,175.05,175.7,1.738282559,475.06,4
4392,NVDA231215C00305000,305,170.05,170.75,1.699220254,475.06,4
4393,NVDA231215C00310000,310,165.05,165.75,1.642579912,475.06,4
4394,NVDA231215C00315000,315,160.05,160.8,1.603517607,475.06,4
4395,NVDA231215C00320000,320,155.1,155.75,1.548830381,475.06,4
4396,NVDA231215C00325000,325,150.1,150.8,1.508791519,475.06,4
4397,NVDA231215C00330000,330,145.05,145.8,1.441409043,475.06,4
4398,NVDA231215C00335000,335,140.05,140.8,1.388674932,475.06,4
4399,NVDA231215C00340000,340,135.1,135.8,1.349612627,475.06,4
4400,NVDA231215C00345000,345,130.1,130.8,1.297855073,475.06,4
4401,NVDA231215C00350000,350,125.1,125.8,1.24609752,475.06,4
4402,NVDA231215C00355000,355,120.1,120.85,1.206546936,475.06,4
4403,NVDA231215C00360000,360,115.1,115.85,1.156254219,475.06,4
4404,NVDA231215C00365000,365,110.15,110.85,1.116215356,475.06,4
4405,NVDA231215C00370000,370,105.05,105.85,1.045903208,475.06,4
4406,NVDA231215C00375000,375,99.8,100.85,0.941406836,475.06,4
4407,NVDA231215C00380000,380,95.15,96,0.992187578,475.06,4
4408,NVDA231215C00385000,385,90,90.9,0.901368174,475.06,4
4409,NVDA231215C00390000,390,85.2,85.9,0.88574333,475.06,4
4410,NVDA231215C00395000,395,80.2,80.9,0.83740397,475.06,4
4411,NVDA231215C00400000,400,75.2,75.6,0.742190078,475.06,4
4412,NVDA231215C00405000,405,70.15,70.95,0.740725249,475.06,4
4413,NVDA231215C00410000,410,65.25,65.65,0.665530688,475.06,4
4414,NVDA231215C00415000,415,60.25,61,0.662112754,475.06,4
4415,NVDA231215C00420000,420,55.3,56,0.618656157,475.06,4
4416,NVDA231215C00425000,425,50.35,51.05,0.579105771,475.06,4
4417,NVDA231215C00430000,430,45.4,46.1,0.538090557,475.06,4
4418,NVDA231215C00435000,435,40.5,41.2,0.502934658,475.06,4
4419,NVDA231215C00437500,437.5,38.05,38.75,0.527348477,475.06,4
4420,NVDA231215C00440000,440,35.65,36.35,0.510502942,475.06,4
4421,NVDA231215C00442500,442.5,33.25,33.95,0.492680854,475.06,4
4422,NVDA231215C00445000,445,30.9,31.6,0.478032563,475.06,4
4423,NVDA231215C00447500,447.5,28.6,29.25,0.461675305,475.06,4
4424,NVDA231215C00450000,450,26.45,26.8,0.43555252,475.06,4
4425,NVDA231215C00452500,452.5,24.1,24.6,0.427740098,475.06,4
4426,NVDA231215C00455000,455,22.1,22.45,0.419927676,475.06,4
4427,NVDA231215C00457500,457.5,19.95,20.35,0.411749047,475.06,4
4428,NVDA231215C00460000,460,17.95,18.3,0.402838003,475.06,4
4429,NVDA231215C00462500,462.5,16.05,16.4,0.398321447,475.06,4
4430,NVDA231215C00465000,465,14.3,14.55,0.391851785,475.06,4
4431,NVDA231215C00467500,467.5,12.7,12.9,0.390631094,475.06,4
4432,NVDA231215C00470000,470,11.15,11.3,0.386724883,475.06,4
4433,NVDA231215C00472500,472.5,9.7,9.9,0.386969021,475.06,4
4434,NVDA231215C00475000,475,8.4,8.55,0.384161432,475.06,4
4435,NVDA231215C00477500,477.5,7.2,7.3,0.380621428,475.06,4
4436,NVDA231215C00480000,480,6.15,6.25,0.380865566,475.06,4
4437,NVDA231215C00482500,482.5,5.2,5.35,0.382940741,475.06,4
4438,NVDA231215C00485000,485,4.35,4.5,0.382330396,475.06,4
4439,NVDA231215C00487500,487.5,3.65,3.8,0.384161432,475.06,4
4440,NVDA231215C00490000,490,3.05,3.15,0.383673156,475.06,4
4441,NVDA231215C00492500,492.5,2.56,2.64,0.386236606,475.06,4
4442,NVDA231215C00495000,495,2.15,2.21,0.389410403,475.06,4
4443,NVDA231215C00497500,497.5,1.78,1.86,0.393682821,475.06,4
4444,NVDA231215C00500000,500,1.5,1.55,0.396978687,475.06,4
4445,NVDA231215C00502500,502.5,1.23,1.32,0.40320421,475.06,4
4446,NVDA231215C00505000,505,1.04,1.1,0.406988352,475.06,4
4447,NVDA231215C00507500,507.5,0.88,0.94,0.413335945,475.06,4
4448,NVDA231215C00510000,510,0.74,0.79,0.418218708,475.06,4
4449,NVDA231215C00512500,512.5,0.64,0.67,0.423833887,475.06,4
4450,NVDA231215C00515000,515,0.55,0.58,0.431158032,475.06,4
4451,NVDA231215C00517500,517.5,0.48,0.51,0.43945873,475.06,4
4452,NVDA231215C00520000,520,0.42,0.43,0.444341494,475.06,4
4453,NVDA231215C00522500,522.5,0.36,0.4,0.45703668,475.06,4
4454,NVDA231215C00525000,525,0.32,0.35,0.464360825,475.06,4
4455,NVDA231215C00527500,527.5,0.29,0.32,0.474614629,475.06,4
4456,NVDA231215C00530000,530,0.26,0.29,0.484380156,475.06,4
4457,NVDA231215C00532500,532.5,0.24,0.26,0.492680854,475.06,4
4458,NVDA231215C00535000,535,0.21,0.24,0.502934658,475.06,4
4459,NVDA231215C00537500,537.5,0.18,0.22,0.50537604,475.06,4
4460,NVDA231215C00540000,540,0.18,0.2,0.517582949,475.06,4
4461,NVDA231215C00545000,545,0.15,0.16,0.533207793,475.06,4
4462,NVDA231215C00550000,550,0.12,0.14,0.550785742,475.06,4
4463,NVDA231215C00555000,555,0.1,0.12,0.567387139,475.06,4
4464,NVDA231215C00560000,560,0.09,0.11,0.587894746,475.06,4
4465,NVDA231215C00565000,565,0.07,0.09,0.599613379,475.06,4
4466,NVDA231215C00570000,570,0.05,0.08,0.611332012,475.06,4
4467,NVDA231215C00575000,575,0.05,0.08,0.636722383,475.06,4
4468,NVDA231215C00580000,580,0.03,0.05,0.628909961,475.06,4
4469,NVDA231215C00585000,585,0.03,0.06,0.662112754,475.06,4
4470,NVDA231215C00590000,590,0.02,0.05,0.66797207,475.06,4
4471,NVDA231215C00595000,595,0.02,0.05,0.691409336,475.06,4
4472,NVDA231215C00600000,600,0.02,0.03,0.691409336,475.06,4
4473,NVDA231215C00605000,605,0.01,0.03,0.703127969,475.06,4
4474,NVDA231215C00610000,610,0.01,0.02,0.703127969,475.06,4
4475,NVDA231215C00615000,615,0,0.02,0.703127969,475.06,4
