,contractSymbol,strike,bid,ask,impliedVolatility,price,remaining
8134,TSLA231215C00005000,5,238.3,239.1,15.48437532,243.84,4
8135,TSLA231215C00010000,10,233.3,234.1,12.25000234,243.84,4
8136,TSLA231215C00015000,15,228.3,229.1,10.52344092,243.84,4
8137,TSLA231215C00020000,20,223.3,224.1,9.35937915,243.84,4
8138,TSLA231215C00025000,25,218.3,219.5,7.156251055,243.84,4
8139,TSLA231215C00030000,30,213.3,214.15,7.960937549,243.84,4
8140,TSLA231215C00035000,35,205.9,210.35,9.5195353,243.84,4
8141,TSLA231215C00040000,40,185.05,187.35,1.00E-05,243.84,4
8142,TSLA231215C00045000,45,198.3,199.15,6.406251992,243.84,4
8143,TSLA231215C00050000,50,193.35,194.15,6.00781499,243.84,4
8144,TSLA231215C00055000,55,188.35,189.2,5.769534038,243.84,4
8145,TSLA231215C00060000,60,183.35,184.15,5.332034585,243.84,4
8146,TSLA231215C00065000,65,178.35,179.3,5.324222095,243.84,4
8147,TSLA231215C00070000,70,144.65,145.5,1.00E-05,243.84,4
8148,TSLA231215C00075000,75,168.4,169.35,3.531251172,243.84,4
8149,TSLA231215C00080000,80,163.4,164.2,4.367192041,243.84,4
8150,TSLA231215C00085000,85,158.35,159.2,4.144536069,243.84,4
8151,TSLA231215C00090000,90,149.05,149.8,1.00E-05,243.84,4
8152,TSLA231215C00095000,95,148.3,149.2,3.734375664,243.84,4
8153,TSLA231215C00100000,100,143.3,144.2,3.544923013,243.84,4
8154,TSLA231215C00105000,105,138.4,139.45,2.804690488,243.84,4
8155,TSLA231215C00110000,110,133.45,134.55,2.867190332,243.84,4
8156,TSLA231215C00115000,115,128.4,129.25,3.089846025,243.84,4
8157,TSLA231215C00120000,120,123.45,124.25,1.937500313,243.84,4
8158,TSLA231215C00125000,125,118.2,119.25,2.777346807,243.84,4
8159,TSLA231215C00130000,130,113.45,114.3,1.945312773,243.84,4
8160,TSLA231215C00135000,135,108.45,109.25,1.625001875,243.84,4
8161,TSLA231215C00140000,140,103.45,104.25,1.531252344,243.84,4
8162,TSLA231215C00145000,145,98.45,99.25,1.453127734,243.84,4
8163,TSLA231215C00150000,150,93.5,94.3,1.621095645,243.84,4
8164,TSLA231215C00155000,155,88.5,89.35,1.58203334,243.84,4
8165,TSLA231215C00160000,160,83.5,84.35,1.480471348,243.84,4
8166,TSLA231215C00165000,165,78.5,79.3,1.328128359,243.84,4
8167,TSLA231215C00170000,170,73.5,74.3,1.234378828,243.84,4
8168,TSLA231215C00175000,175,68.55,69.35,1.234378828,243.84,4
8169,TSLA231215C00180000,180,63.55,64.5,1.224613252,243.84,4
8170,TSLA231215C00182500,182.5,61.05,61.9,1.125004375,243.84,4
8171,TSLA231215C00185000,185,58.55,59.35,1.046879766,243.84,4
8172,TSLA231215C00187500,187.5,56.1,57.05,1.120121587,243.84,4
8173,TSLA231215C00190000,190,53.55,54.35,0.95703168,243.84,4
8174,TSLA231215C00192500,192.5,51.1,51.85,0.93945373,243.84,4
8175,TSLA231215C00195000,195,48.6,49.45,0.938477178,243.84,4
8176,TSLA231215C00197500,197.5,46.1,47.15,0.95703168,243.84,4
8177,TSLA231215C00200000,200,43.6,44.55,0.878907461,243.84,4
8178,TSLA231215C00202500,202.5,41.1,41.9,0.78222874,243.84,4
8179,TSLA231215C00205000,205,38.65,39.4,0.754885264,243.84,4
8180,TSLA231215C00207500,207.5,36.15,37.05,0.751955605,243.84,4
8181,TSLA231215C00210000,210,33.7,34.65,0.73926042,243.84,4
8182,TSLA231215C00212500,212.5,31.2,32,0.658206543,243.84,4
8183,TSLA231215C00215000,215,28.75,29.55,0.632816172,243.84,4
8184,TSLA231215C00217500,217.5,26,27.05,0.531254688,243.84,4
8185,TSLA231215C00220000,220,24,24.6,0.584476812,243.84,4
8186,TSLA231215C00222500,222.5,21.4,22.2,0.533696069,243.84,4
8187,TSLA231215C00225000,225,19.2,19.9,0.539067109,243.84,4
8188,TSLA231215C00227500,227.5,17.25,17.55,0.545414702,243.84,4
8189,TSLA231215C00230000,230,15.1,15.4,0.536381589,243.84,4
8190,TSLA231215C00232500,232.5,13.05,13.25,0.521733298,243.84,4
8191,TSLA231215C00235000,235,11,11.3,0.507085007,243.84,4
8192,TSLA231215C00237500,237.5,9.2,9.5,0.500249138,243.84,4
8193,TSLA231215C00240000,240,7.75,7.85,0.502446382,243.84,4
8194,TSLA231215C00242500,242.5,6.3,6.4,0.502446382,243.84,4
8195,TSLA231215C00245000,245,5.1,5.15,0.500493276,243.84,4
8196,TSLA231215C00247500,247.5,4,4.1,0.500981553,243.84,4
8197,TSLA231215C00250000,250,3.15,3.2,0.500005,243.84,4
8198,TSLA231215C00252500,252.5,2.41,2.45,0.498540171,243.84,4
8199,TSLA231215C00255000,255,1.85,1.86,0.499272585,243.84,4
8200,TSLA231215C00257500,257.5,1.39,1.42,0.501958105,243.84,4
8201,TSLA231215C00260000,260,1.05,1.07,0.506352593,243.84,4
8202,TSLA231215C00262500,262.5,0.79,0.8,0.511235356,243.84,4
8203,TSLA231215C00265000,265,0.6,0.62,0.520024331,243.84,4
8204,TSLA231215C00267500,267.5,0.45,0.48,0.528325029,243.84,4
8205,TSLA231215C00270000,270,0.36,0.37,0.539555386,243.84,4
8206,TSLA231215C00275000,275,0.22,0.23,0.561527822,243.84,4
8207,TSLA231215C00280000,280,0.14,0.16,0.588871299,243.84,4
8208,TSLA231215C00285000,285,0.09,0.11,0.613285117,243.84,4
8209,TSLA231215C00290000,290,0.07,0.08,0.64648791,243.84,4
8210,TSLA231215C00295000,295,0.05,0.06,0.673831387,243.84,4
8211,TSLA231215C00300000,300,0.04,0.05,0.70703418,243.84,4
8212,TSLA231215C00305000,305,0.02,0.04,0.726565234,243.84,4
8213,TSLA231215C00310000,310,0.02,0.03,0.757814922,243.84,4
8214,TSLA231215C00315000,315,0.01,0.03,0.781252188,243.84,4
8215,TSLA231215C00320000,320,0.01,0.02,0.804689453,243.84,4
8216,TSLA231215C00325000,325,0.01,0.02,0.843751562,243.84,4
8217,TSLA231215C00330000,330,0.01,0.02,0.890626094,243.84,4
8218,TSLA231215C00335000,335,0,0.02,0.890626094,243.84,4
8219,TSLA231215C00340000,340,0,0.02,0.937500625,243.84,4
8220,TSLA231215C00345000,345,0,0.01,0.906250938,243.84,4
8221,TSLA231215C00350000,350,0,0.01,0.937500625,243.84,4
8222,TSLA231215C00355000,355,0,0.01,0.968750313,243.84,4
8223,TSLA231215C00360000,360,0,0.01,1.031254844,243.84,4
8224,TSLA231215C00365000,365,0,0.01,1.062504688,243.84,4
8225,TSLA231215C00370000,370,0,0.01,1.093754531,243.84,4
8226,TSLA231215C00375000,375,0,0.01,1.125004375,243.84,4
8227,TSLA231215C00380000,380,0,0.01,1.156254219,243.84,4
8228,TSLA231215C00385000,385,0,0.01,1.187504063,243.84,4
8229,TSLA231215C00390000,390,0,0.01,1.187504063,243.84,4
8230,TSLA231215C00395000,395,0,0.01,1.25000375,243.84,4
8231,TSLA231215C00400000,400,0,0.01,1.25000375,243.84,4
8232,TSLA231215C00405000,405,0,0.01,1.281253594,243.84,4
8233,TSLA231215C00410000,410,0,0.01,1.312503437,243.84,4
8234,TSLA231215C00415000,415,0,0.01,1.343753281,243.84,4
8235,TSLA231215C00420000,420,0,0.01,1.375003125,243.84,4
